P1,P2,Vencedor,Quem_Comecou,Total_Jogadas
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,19
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,18
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,24
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,48
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,7
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,19
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,18
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,22
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,21
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,16
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,18
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,25
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,18
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,13
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,18
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,16
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,32
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,23
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,20
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,19
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,7
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,16
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,19
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,20
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,38
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,25
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,7
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,24
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,19
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,21
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,18
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,21
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,19
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,P1_it1000_c1.41_mcAll_d10,7
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,17
P1_it1000_c1.41_mcAll_d10,P2_it1000_c1.41_mcAll_dNone,P2_it1000_c1.41_mcAll_dNone,P1_it1000_c1.41_mcAll_d10,18
