P1,P2,Vencedor,Quem_Comecou,Total_Jogadas
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,best_tree_win,best_tree_win,best_tree_all,18
best_tree_all,best_tree_win,best_tree_win,best_tree_win,25
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,23
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,worst_tree_all,best_tree_all,20
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,17
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,25
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,21
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,15
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,20
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,worst_tree_all,best_tree_all,30
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,27
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,worst_tree_all,best_tree_all,28
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,15
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,19
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,15
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,33
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,17
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,worst_tree_all,best_tree_all,20
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,17
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,19
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,17
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,17
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,29
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,19
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,27
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,best_tree_all,best_tree_all,38
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_all,worst_tree_all,best_tree_all,24
best_tree_all,worst_tree_all,best_tree_all,worst_tree_all,9
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
best_tree_all,worst_tree_win,best_tree_all,worst_tree_win,14
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
best_tree_all,worst_tree_win,best_tree_all,worst_tree_win,14
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
best_tree_all,worst_tree_win,best_tree_all,worst_tree_win,14
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
best_tree_all,worst_tree_win,best_tree_all,worst_tree_win,14
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
best_tree_all,worst_tree_win,best_tree_all,worst_tree_win,14
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
best_tree_all,worst_tree_win,best_tree_all,worst_tree_win,14
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
best_tree_all,worst_tree_win,best_tree_all,worst_tree_win,14
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
best_tree_all,worst_tree_win,best_tree_all,worst_tree_win,14
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
best_tree_all,worst_tree_win,best_tree_all,worst_tree_win,14
best_tree_all,worst_tree_win,best_tree_all,best_tree_all,13
